numero,nombre,estado,latitud,longitud
01009,LA LABOR (SMN),AGUASCALIENTES,21.96222222,-102.6947222
01010,LA TINAJA,AGUASCALIENTES,22.16444444,-102.5541667
01007,JESUS MARIA (SMN),AGUASCALIENTES,21.96222222,-102.3447222
01024,SAN ISIDRO,AGUASCALIENTES,21.77861111,-102.1038889
01003,CALVILLO (SMN),AGUASCALIENTES,21.88333333,-102.7188889
01016,GANADERIA PEÑUELAS,AGUASCALIENTES,21.71055556,-102.2822222
01021,RANCHO VIEJO,AGUASCALIENTES,22.12333333,-102.5111111
01012,PRESA MEDIA LUNA,AGUASCALIENTES,21.79444444,-102.8016667
01005,PRESA EL NIAGARA,AGUASCALIENTES,21.78055556,-102.3716667
01015,PALO ALTO,AGUASCALIENTES,21.91638889,-101.9694444
01036,SANTA ROSA,AGUASCALIENTES,21.81666667,-102.3
01020,PRESA LA CODORNIZ,AGUASCALIENTES,21.99666667,-102.6741667
01029,ASIENTOS,AGUASCALIENTES,22.23972222,-102.0888889
01027,VENADERO (DGE),AGUASCALIENTES,21.87722222,-102.4633333
01019,PRESA JOCOQUE,AGUASCALIENTES,22.12805556,-102.3594444
01025,SAN FRANCISCO DE LOS ROMO (SMN),AGUASCALIENTES,22.07722222,-102.2711111
01035,SAN FRANCISCO DE LOS VIVEROS,AGUASCALIENTES,21.91194444,-102.13
01032,LAS FRAGUAS,AGUASCALIENTES,22.03916667,-101.8925
01031,EL NOVILLO,AGUASCALIENTES,22.01888889,-101.9991667
01006,EL TULE (SMN),AGUASCALIENTES,22.08166667,-102.0913889
01004,CAÑADA HONDA,AGUASCALIENTES,22.00083333,-102.1988889
01013,MESILLAS,AGUASCALIENTES,22.31333333,-102.1658333
01026,TEPEZALA,AGUASCALIENTES,22.22361111,-102.1688889
01008,PUERTO DE LA CONCEPCION,AGUASCALIENTES,22.20277778,-102.135
01022,SAN BARTOLO,AGUASCALIENTES,21.74805556,-102.1702778
01023,CALVILLO (DGE),AGUASCALIENTES,21.83666667,-102.7116667
01014,PABELLON CAMPO EXPERIMENTAL,AGUASCALIENTES,22.16694444,-102.2927778
01043,E.T.A. 127 AGUASCALIENTES,AGUASCALIENTES,21.88333333,-102.3
01047,AGUA ZARCA,AGUASCALIENTES,21.97416667,-102.5844444
01001,AGUASCALIENTES (OBS),AGUASCALIENTES,21.85027778,-102.2908333
01028,VILLA JUAREZ,AGUASCALIENTES,22.10083333,-102.0677778
01034,SANDOVALES,AGUASCALIENTES,21.885,-102.1091667
01063,PEÑUELAS (SMN),AGUASCALIENTES,21.725,-102.275
01011,MALPASO,AGUASCALIENTES,21.86,-102.6638889
01033,LOS CONOS,AGUASCALIENTES,21.89777778,-101.9925
01018,PRESA PLUTARCO ELIAS CALLES,AGUASCALIENTES,22.14138889,-102.4152778
01045,EL TULE (DGE),AGUASCALIENTES,22.08305556,-102.0911111
01017,PRESA POTRERILLOS,AGUASCALIENTES,22.23277778,-102.4436111
01046,LA LABOR (DGE),AGUASCALIENTES,21.96444444,-102.6972222
01076,LOS NEGRITOS,AGUASCALIENTES,21.87055556,-102.3491667
01073,LA TINAJA,AGUASCALIENTES,21.80944444,-102.1297222
01077,EL OCOTE,AGUASCALIENTES,21.78277778,-102.5175
01041,PABELLON DE ARTEAGA (SMN),AGUASCALIENTES,22.15,-102.2833333
01057,VENADERO (SMN),AGUASCALIENTES,21.8725,-102.4666667
01078,EL OCOTE,AGUASCALIENTES,21.89027778,-102.8325
01079,PEÑUELAS (DGE),AGUASCALIENTES,21.72583333,-102.2722222
01085,TEPETATILLO,AGUASCALIENTES,22.09111111,-102.1813889
01075,MONTORO,AGUASCALIENTES,21.75722222,-102.3022222
01062,ARELLANO,AGUASCALIENTES,21.80194444,-102.2730556
01084,SAN GIL,AGUASCALIENTES,22.20833333,-102.0222222
01030,AGUASCALIENTES,AGUASCALIENTES,21.89555556,-102.3086111
01094,EL CHAYOTE,AGUASCALIENTES,22.28611111,-102.2358333
01074,CIENEGUILLA,AGUASCALIENTES,21.73111111,-102.4527778
01095,MILPILLAS DE ARRIBA,AGUASCALIENTES,21.935,-102.5508333
01091,LOS ALISOS,AGUASCALIENTES,21.74222222,-102.7169444
01080,PRESA CANUTILLO,AGUASCALIENTES,21.8375,-102.5222222
01090,JESUS MARIA (DGE),AGUASCALIENTES,21.96222222,-102.3505556
01104,ABELARDO L. RODRIGUEZ,AGUASCALIENTES,21.91444444,-102.4286111
01106,LA PRIMAVERA,AGUASCALIENTES,21.95861111,-102.4758333
01081,RANCHO SECO,AGUASCALIENTES,22.08833333,-101.9672222
01105,LOS CUARTOS,AGUASCALIENTES,21.98638889,-102.35
01103,ALAMITOS CAMPAMENTO,AGUASCALIENTES,22.1775,-102.5861111
01082,RINCON DE ROMOS,AGUASCALIENTES,22.23111111,-102.3152778
01099,JESUS TERAN (EL MUERTO),AGUASCALIENTES,21.97583333,-102.0619444
01098,LA POSTA U.A.A.,AGUASCALIENTES,21.9725,-102.3625
01089,PRESA 50 ANIVERSARIO,AGUASCALIENTES,22.18861111,-102.4641667
01097,AGUASCALIENTES II,AGUASCALIENTES,21.90555556,-102.265
01101,LAS PRESAS,AGUASCALIENTES,21.90916667,-102.0869444
01088,COSIO,AGUASCALIENTES,22.36277778,-102.2969444
01096,CALVILLITO,AGUASCALIENTES,21.83527778,-102.1825
01108,ARROYO HONDO  (CYCNA),AGUASCALIENTES,22.1825,-102.2077778
01102,PABELLON DE ARTEAGA (DGE),AGUASCALIENTES,22.14722222,-102.2791667
01083,SAN FRANCISCO DE LOS ROMO (DGE),AGUASCALIENTES,22.07888889,-102.2730556
02002,BAHIA DE LOS ANGELES,BAJA CALIFORNIA,28.60388889,-113.5561111
02001,AGUA CALIENTE,BAJA CALIFORNIA,32.1075,-116.4541667
02006,CHAPALA,BAJA CALIFORNIA,29.48805556,-114.3638889
02010,COMPOSTELA,BAJA CALIFORNIA,31.78333333,-115.7666667
02009,COLONIA JUAREZ,BAJA CALIFORNIA,32.29861111,-115.0161111
02019,EL COMPADRE,BAJA CALIFORNIA,32.3375,-116.2541667
02003,BATAQUEZ,BAJA CALIFORNIA,32.55111111,-115.0688889
02007,CERRO PRIETO (CFE),BAJA CALIFORNIA,32.43805556,-115.3875
02008,COLONIA GUERRERO,BAJA CALIFORNIA,30.71666667,-115.9833333
02013,EJIDO PLAN NACIONAL AGRARIO,BAJA CALIFORNIA,30.67,-115.1311111
02017,PLANTA DE BOMBEO ROSARITO,BAJA CALIFORNIA,32.32777778,-117.0472222
02027,ISLA CEDROS,BAJA CALIFORNIA,28.135,-115.175
02004,IGNACIO ZARAGOZA -BELEN-,BAJA CALIFORNIA,32.19527778,-116.4855556
02029,LA PROVIDENCIA,BAJA CALIFORNIA,30.96861111,-116.1566667
02012,EJIDO JOSE MARIA MORELOS,BAJA CALIFORNIA,28.3,-114.0258333
02024,EL TESTERAZO,BAJA CALIFORNIA,32.29638889,-116.5344444
02011,DELTA,BAJA CALIFORNIA,32.35305556,-115.1891667
02015,EL ARCO,BAJA CALIFORNIA,28.02861111,-113.3963889
02023,EL SOCORRO,BAJA CALIFORNIA,30.32055556,-115.8205556
02016,EL BARRIL,BAJA CALIFORNIA,28.3025,-112.8783333
02042,ROSARITO,BAJA CALIFORNIA,32.28777778,-117.0019444
02033,MEXICALI (DGE),BAJA CALIFORNIA,32.66333333,-115.4677778
02026,ISLA GUADALUPE (OBS),BAJA CALIFORNIA,29.02,-118.2780556
02021,EL PINAL,BAJA CALIFORNIA,32.18333333,-116.2916667
02037,PRESA MORELOS,BAJA CALIFORNIA,32.71527778,-114.7288889
02032,LAS ESCOBAS,BAJA CALIFORNIA,30.57944444,-115.9377778
02030,LA PUERTA,BAJA CALIFORNIA,32.54388889,-116.6783333
02049,SAN JUAN DE DIOS NORTE,BAJA CALIFORNIA,32.1325,-116.165
02022,EL ROSARIO,BAJA CALIFORNIA,30.05944444,-115.7233333
02040,RANCHO ALEGRE,BAJA CALIFORNIA,28.22861111,-113.7552778
02025,ENSENADA (OBS),BAJA CALIFORNIA,31.85777778,-116.6058333
02048,SAN JOSE,BAJA CALIFORNIA,31.06666667,-115.5833333
02044,SAN BORJA,BAJA CALIFORNIA,28.73527778,-113.7525
02014,EL ALAMO,BAJA CALIFORNIA,31.59333333,-116.0544444
02005,BOQUILLA SANTA ROSA DE LA MISION,BAJA CALIFORNIA,32.02166667,-116.7769444
02043,SAN AGUSTIN,BAJA CALIFORNIA,29.9375,-114.9669444
02035,OJOS NEGROS,BAJA CALIFORNIA,31.91166667,-116.2647222
02054,SAN RAFAEL,BAJA CALIFORNIA,31.03333333,-115.9833333
02036,OLIVARES MEXICANOS,BAJA CALIFORNIA,32.04916667,-116.6808333
02052,SAN LUIS GONZAGA,BAJA CALIFORNIA,30.08333333,-114.6166667
02062,SANTA ISABEL,BAJA CALIFORNIA,31.87111111,-115.8172222
02041,NUEVO ROSARITO,BAJA CALIFORNIA,28.63444444,-114.0172222
